Period,Service Channel Type,State,sa4_code,sa3_code,sa2_code,Suburb,Lat,Lon,ra_code
30/06/2024,Bank@Post,SA,Adelaide - Central and Hills,Adelaide City,Adelaide,Adelaide,-34.932046,138.611127,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - Central and Hills,Adelaide City,Adelaide,Adelaide,-34.930328,138.590758,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - Central and Hills,Adelaide City,Adelaide,Adelaide,-34.926782,138.599016,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - Central and Hills,Adelaide City,Adelaide,Adelaide,-34.92356,138.60292,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - Central and Hills,Adelaide City,Adelaide,Adelaide,-34.92255366,138.5920929,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - Central and Hills,Adelaide City,Adelaide,Adelaide,-34.91952796,138.6043929,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - Central and Hills,Adelaide City,North Adelaide,North Adelaide,-34.90781132,138.6053539,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - Central and Hills,Adelaide City,North Adelaide,North Adelaide,-34.905989,138.594005,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - Central and Hills,Adelaide Hills,Adelaide Hills,Mount Torrens,-34.874134,138.958706,Inner Regional Australia
30/06/2024,Bank@Post,SA,Adelaide - Central and Hills,Adelaide Hills,Adelaide Hills,Gumeracha,-34.825064,138.882949,Inner Regional Australia
30/06/2024,Bank@Post,SA,Adelaide - Central and Hills,Adelaide Hills,Adelaide Hills,Inglewood (SA),-34.82430706,138.7745821,Inner Regional Australia
30/06/2024,Bank@Post,SA,Adelaide - Central and Hills,Adelaide Hills,Adelaide Hills,Birdwood (SA),-34.820761,138.954531,Inner Regional Australia
30/06/2024,Bank@Post,SA,Adelaide - Central and Hills,Adelaide Hills,Adelaide Hills,Kersbrook,-34.78262,138.85205,Inner Regional Australia
30/06/2024,Bank@Post,SA,Adelaide - Central and Hills,Adelaide Hills,Aldgate - Stirling,Mylor,-35.043317,138.75952,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - Central and Hills,Adelaide Hills,Aldgate - Stirling,Aldgate,-35.01526537,138.7354407,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - Central and Hills,Adelaide Hills,Aldgate - Stirling,Bridgewater (SA),-35.010116,138.76028,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - Central and Hills,Adelaide Hills,Aldgate - Stirling,Stirling (SA),-35.006524,138.716823,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - Central and Hills,Adelaide Hills,Aldgate - Stirling,Crafers,-34.9972537,138.7046963,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - Central and Hills,Adelaide Hills,Hahndorf - Echunga,Echunga,-35.101151,138.793733,Inner Regional Australia
30/06/2024,Bank@Post,SA,Adelaide - Central and Hills,Adelaide Hills,Hahndorf - Echunga,Hahndorf,-35.028921,138.809175,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - Central and Hills,Adelaide Hills,Lobethal - Woodside,Balhannah,-34.993947,138.820944,Inner Regional Australia
30/06/2024,Bank@Post,SA,Adelaide - Central and Hills,Adelaide Hills,Lobethal - Woodside,Woodside (SA),-34.951653,138.875448,Inner Regional Australia
30/06/2024,Bank@Post,SA,Adelaide - Central and Hills,Adelaide Hills,Lobethal - Woodside,Lenswood,-34.91978,138.828972,Inner Regional Australia
