Period,Sector,ABN,Institution Name,Service Channel Type,State,sa4_code,sa3_code,sa2_code,suburb,Lat,Lon,ra_code,Number
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,SA,Adelaide - Central and Hills,Adelaide City,Adelaide,Adelaide,-34.93048,138.59531,Major Cities of Australia,2
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,SA,Adelaide - Central and Hills,Adelaide City,Adelaide,Adelaide,-34.9259,138.59952,Major Cities of Australia,3
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,SA,Adelaide - Central and Hills,Adelaide City,Adelaide,Adelaide,-34.92254,138.60373,Major Cities of Australia,2
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,SA,Adelaide - Central and Hills,Adelaide City,Adelaide,Adelaide,-34.92254,138.60375,Major Cities of Australia,1
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,SA,Adelaide - Central and Hills,Adelaide Hills,Mount Barker,Mount Barker (SA),-35.067,138.85846,Major Cities of Australia,2
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,SA,Adelaide - Central and Hills,Campbelltown (SA),Paradise - Newton,Campbelltown (SA),-34.87937,138.66349,Major Cities of Australia,1
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,SA,Adelaide - Central and Hills,Norwood - Payneham - St Peters,Norwood (SA),Norwood (SA),-34.9214,138.63626,Major Cities of Australia,2
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,SA,Adelaide - Central and Hills,Prospect - Walkerville,Prospect,Prospect (SA),-34.87619,138.60134,Major Cities of Australia,2
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,SA,Adelaide - Central and Hills,Unley,Unley - Parkside,Unley,-34.94765,138.60696,Major Cities of Australia,2
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,SA,Adelaide - North,Gawler - Two Wells,Gawler - South,Gawler (SA),-34.59911,138.74957,Major Cities of Australia,2
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,SA,Adelaide - North,Salisbury,Salisbury,Salisbury (SA),-34.76262,138.64672,Major Cities of Australia,2
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,SA,Adelaide - North,Tea Tree Gully,Hope Valley - Modbury,Modbury,-34.8329,138.6877,Major Cities of Australia,2
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,SA,Adelaide - South,Holdfast Bay,Glenelg (SA),Glenelg (SA),-34.98011,138.51646,Major Cities of Australia,2
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,SA,Adelaide - South,Marion,Edwardstown,Edwardstown,-34.9821,138.5729,Major Cities of Australia,3
